run,n,side,neuron,energy,live,dom_irrep,dom_dim,dom_block,e_dom,block_dominant,alpha_plain,plain_label,alpha_twist,twist_label,aligned_plain,aligned_twist,test_acc
randinit_aff16_seed9,16,x,67,0.17268956583116782,True,22,8,16,(0.4396464432189492+0j),False,0.1530762627513634,M6l,0.20374523048530824,k4l,False,False,
randinit_aff16_seed9,16,x,68,0.266936102851728,True,22,8,16,(0.4662179584428342+0j),False,0.19817951893504007,M5l,0.2047323899136981,k5l,False,False,
randinit_aff16_seed9,16,x,69,0.23702885780728677,True,22,8,16,(0.43920551183117346+0j),False,0.17689118696036155,M6r,0.17649410017901987,k1l,False,False,
randinit_aff16_seed9,16,x,70,0.17858057004304276,True,22,8,16,(0.4159165646346564+0j),False,0.15264733238840328,M7r,0.2452841875054198,k6r,False,False,
randinit_aff16_seed9,16,x,71,0.2425661629768209,True,22,8,16,(0.4606012037076412+0j),False,0.2518032245074511,M1r,0.17159799765003278,k6l,False,False,
randinit_aff16_seed9,16,x,72,0.23912019500651308,True,22,8,16,(0.48707907595047967+0j),False,0.2004599880773919,M7r,0.1794419068724183,k4l,False,False,
randinit_aff16_seed9,16,x,73,0.24077983210124648,True,22,8,16,(0.6354749738803633+0j),False,0.19165778144204315,M6r,0.2468953155045753,k7l,False,False,
randinit_aff16_seed9,16,x,74,0.23975368594952504,True,22,8,16,(0.5986269784638056+0j),False,0.18908584552306384,M3r,0.23527660889517554,k1r,False,False,
randinit_aff16_seed9,16,x,75,0.22111996471949263,True,22,8,16,(0.49658945057632753+0j),False,0.1669319167748243,M3r,0.20790266426027793,k4l,False,False,
randinit_aff16_seed9,16,x,76,0.24177247104877453,True,22,8,16,(0.4936601344671031+0j),False,0.19548499453568044,M4l,0.16381179133329718,k7l,False,False,
randinit_aff16_seed9,16,x,77,0.25233528344543044,True,22,8,16,(0.4960495854084415+0j),False,0.2036673035994375,M7l,0.16730564915341345,k6l,False,False,
randinit_aff16_seed9,16,x,78,0.2330026003704972,True,22,8,16,(0.4057164838943988+0j),False,0.16471641200698012,M5l,0.20043867937732437,k6r,False,False,
randinit_aff16_seed9,16,x,79,0.22918037357156645,True,22,8,16,(0.3826634482270378+0j),False,0.1642766682177832,M6r,0.238321829941611,k4r,False,False,
randinit_aff16_seed9,16,x,80,0.2504515902477567,True,22,8,16,(0.5222449654240376+0j),False,0.20761338218125097,M1l,0.20412909408743696,k1r,False,False,
randinit_aff16_seed9,16,x,81,0.21976649533894302,True,22,8,16,(0.4543554028938685+0j),False,0.1846472384382119,M5r,0.16913325663765297,k1l,False,False,
randinit_aff16_seed9,16,x,82,0.3035690231858629,True,22,8,16,(0.5092295283250041+0j),False,0.2146112002613928,M3r,0.24044163379835157,k3r,False,False,
randinit_aff16_seed9,16,x,83,0.22611098449081185,True,22,8,16,(0.5729856897185179+0j),False,0.25078836308540897,M3r,0.22732775002104103,k7l,False,False,
randinit_aff16_seed9,16,x,84,0.2223245282515844,True,22,8,16,(0.49461480657678314+0j),False,0.19049342308383949,M4r,0.18545019943427218,k5r,False,False,
randinit_aff16_seed9,16,x,85,0.20361015674830954,True,22,8,16,(0.41102593110639757+0j),False,0.19520291718469795,M1l,0.20002696681162466,k6r,False,False,
randinit_aff16_seed9,16,x,86,0.21855388621117705,True,22,8,16,(0.492003532480382+0j),False,0.22786910681462264,M6l,0.2119592434508432,k7r,False,False,
randinit_aff16_seed9,16,x,87,0.20262528369077226,True,22,8,16,(0.3515572206430771+0j),False,0.2402263754128182,M0l,0.24936856890716194,k2l,False,False,
randinit_aff16_seed9,16,x,88,0.26164923816820584,True,22,8,16,(0.5493111067097043+0j),False,0.15938851516000918,M3r,0.19711499156220877,k1l,False,False,
randinit_aff16_seed9,16,x,89,0.3014551560063013,True,22,8,16,(0.46966118390621103+0j),False,0.18726447884398817,M5r,0.16374048784188966,k6l,False,False,
randinit_aff16_seed9,16,x,90,0.1996989904590946,True,22,8,16,(0.5246973126563487+0j),False,0.19661768966602367,M2r,0.1800734982291435,k6l,False,False,
randinit_aff16_seed9,16,x,91,0.19332414580307525,True,22,8,16,(0.4363120223381137+0j),False,0.1779706627402282,M5l,0.19576872334122664,k2r,False,False,
randinit_aff16_seed9,16,x,92,0.3026630445988177,True,22,8,16,(0.5625359304551175+0j),False,0.20448810004353224,M1l,0.17602493725618326,k1l,False,False,
randinit_aff16_seed9,16,x,93,0.21258889039582557,True,22,8,16,(0.5253156065048985+0j),False,0.1936679266379026,M2l,0.17171506372128859,k1r,False,False,
randinit_aff16_seed9,16,x,94,0.24404510032545768,True,22,8,16,(0.4808097280388363+0j),False,0.2390287306113066,M2r,0.17335707211848425,k7r,False,False,
randinit_aff16_seed9,16,x,95,0.2738984725473495,True,22,8,16,(0.47219631139276846+0j),False,0.1942534690869195,M6r,0.1994923106891273,k7l,False,False,
randinit_aff16_seed9,16,x,96,0.29021745324618475,True,22,8,16,(0.48314477556105767+0j),False,0.17573459534892827,M5l,0.17940644710235834,k7r,False,False,
