run,n,block,side,neuron,energy,alpha,family,coset_side
aff11_wu100k_m128_seed1,11,11,y,13,202.18807621871252,0.9999959310064066,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,14,188.40952608952682,0.9999950324190259,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,15,186.0398545096357,0.9999954130962908,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,16,158.72044778463015,0.9999943132417323,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,17,193.48837275774792,0.9999928717400107,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,18,157.302768164842,0.9999958957616094,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,19,137.1661723794958,0.9999946705052145,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,20,249.50627812691346,0.9999967673594728,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,21,186.67562772037422,0.9999966616525514,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,22,178.68028258312407,0.9999962651026704,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,23,201.12165203102316,0.9999961836051899,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,24,115.1264850192709,0.9999929439947955,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,25,146.94469612628606,0.9999965471286201,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,26,209.17607414113016,0.9999970806278483,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,27,192.3674448180118,0.9999959274146545,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,28,228.9439280583057,0.9999970267688649,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,29,181.21285601309657,0.9999925740933826,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,30,163.89259007311534,0.9999977535166162,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,31,119.81299763015353,0.9999913958266039,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,32,113.64333517987757,0.9999936143021292,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,33,237.95967336674596,0.9999965286114657,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,34,230.4614527333238,0.9999967259612805,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,35,209.95689742097045,0.9999972310915061,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,36,190.77707343358492,0.9999949505063351,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,37,124.86788965154675,0.9999929427746712,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,38,225.22434213779349,0.9999944589416508,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,39,159.01098343418397,0.9999952032107243,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,40,240.72314765962085,0.9999977022699881,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,41,168.9778910565611,0.9999968066969969,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,42,171.24955873444657,0.9999963216093525,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,43,242.9437167799237,0.9999961489106444,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,44,197.13604537420227,0.9999966053790919,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,46,191.34445746388565,0.9999935660067316,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,48,145.3793953252766,0.9999956477584522,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,49,142.31706886791486,0.9999967320725767,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,50,173.52583500438413,0.9999967743514655,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,51,212.2555373653662,0.9999956043163779,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,52,199.94492029030792,0.9999961768187355,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,53,224.356596518867,0.9999971881716955,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,55,162.7128500612121,0.9999938464259543,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,56,247.01629644860287,0.9999953778365401,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,57,149.63087486302106,0.9999932438214999,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,58,220.452567840027,0.9999954626261109,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,59,197.6738605917971,0.9999953028213613,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,60,188.13809952955168,0.9999968380809743,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,61,183.70090136166172,0.9999943074296849,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,62,179.67328286837878,0.9999930125456632,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,64,187.4956733591781,0.9999967006151966,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,65,173.08499851894288,0.9999956896502316,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,66,226.7113976032189,0.999995547491495,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,67,210.64788528412885,0.9999969284838096,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,68,236.3681041258287,0.9999956206539232,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,69,141.36825242458121,0.9999922501558276,M_x (point stabilizer) idx=11 triv,l
