run,n,block,dim,n_cols,energy_share,F_plain,F_twist,F_both,med_alpha_plain,med_alpha_twist,plain_side,twist_side,verdict,support_orbit_dist,energy_by_block,frac_block_dominant,comp_energy,C_plain,C_plainchar,C_twist,wmean_alpha_plain,wmean_alpha_plainchar,wmean_alpha_twist,verdict_component
aff15_wu_m128_seed2,15.0,5,4.0,69.0,0.5255519577223584,0.9999999292445738,0.0,0.0,0.9999903087762337,0.8714835768180412,l:0.50 r:0.50,l:0.50 r:0.50,plain,4:1.00,,,29487.366418374844,0.9999862930249238,0.0,0.0,0.9999886604678824,0.6291362189176684,0.871512070020304,plain
aff15_wu_m128_seed2,,5β,,,,,,,,,,,,,,,0.09212060629115953,0.0,0.0,0.0,6.80559851886349e-27,0.5027758326268472,0.6384771187123219,neither
aff15_wu_m128_seed3,15.0,15,8.0,0.0,0.0,,,,,,,,empty,,d0:0.16 d3:0.34 d5:0.51,0.9705799454841126,0.18995311937471293,0.0,0.0,0.0,0.2662189487337292,0.2918340721824599,0.3643386450767713,neither
aff15_wu_m128_seed3,15.0,5,4.0,109.0,0.5071318395413804,0.9999995719824336,1.791311239728081e-09,0.0,0.9999905913326983,0.5951771431893832,l:0.50 r:0.50,l:0.50 r:0.50,plain,4:1.00,,,25245.615779939206,1.0,0.0,0.0,0.999996768318085,0.7870755779575435,0.5952208647951924,plain
aff15_wu_m128_seed3,,5β,,,,,,,,,,,,,,,0.05231907464804408,0.0,0.0,0.0,1.0735191020700509e-26,0.5633172307429924,0.6497099991113211,neither
aff15_wu_m128_seed4,15.0,15,8.0,0.0,0.0,,,,,,,,empty,,d0:0.14 d3:0.34 d5:0.53,0.9500117666770431,0.17205907445355387,0.0,0.0,0.0,0.23795257892223534,0.27661558569386907,0.3706378528242975,neither
aff15_wu_m128_seed4,15.0,5,4.0,117.0,0.5263068202563689,0.9999995832206574,2.6689042951971537e-08,0.0,0.9999953943545123,0.8120993119101532,l:0.50 r:0.50,l:0.50 r:0.50,plain,2:0.00 4:1.00,,,26166.912650391732,1.0,0.0,0.0,0.9999983533798584,0.6908018674275282,0.8121265398182503,plain
aff15_wu_m128_seed4,,5β,,,,,,,,,,,,,,,0.0385425262922892,0.0,0.0,0.027757104048947833,1.494079348223642e-26,0.4655678957361849,0.6878331123547717,neither
aff15_wu_m128_seed5,15.0,15,8.0,0.0,0.0,,,,,,,,empty,,d0:0.74 d3:0.26,0.9439143754949554,0.19007701447903197,0.0,0.0,0.0,0.2716457390032886,0.2955645768644852,0.38413312557391205,neither
aff15_wu_m128_seed5,15.0,5,4.0,0.0,0.0,,,,,,,,empty,,,,0.042286880401218765,0.0,0.0,0.06330304378129699,0.5023384069474534,0.49670536171012347,0.6927431432367859,neither
aff15_wu_m128_seed5,,5β,,,,,,,,,,,,,,,31356.617868487425,0.0,1.0,0.0,5.0233220292840596e-33,0.9999971501428943,0.5152095780102938,plain
aff15_wu_m512_seed1,15.0,15,8.0,0.0,0.0,,,,,,,,empty,,d0:0.14 d3:0.33 d5:0.53,0.8968232461533607,0.08907381076999965,0.0,0.0,0.0,0.2643488326324934,0.2898454756521639,0.36239358999383436,neither
aff15_wu_m512_seed1,15.0,5,4.0,213.0,0.5269628187397056,0.9999951076886755,1.1418517213483384e-06,0.0,0.9999949648902252,0.587418645071699,l:0.50 r:0.50,l:0.50 r:0.50,plain,2:0.00 4:1.00,,,23166.2344624665,1.0,0.0,0.0,0.9999978528610377,0.8045046129148415,0.5874357909720854,plain
aff15_wu_m512_seed1,,5β,,,,,,,,,,,,,,,0.02280407371926295,0.0,0.0,0.0,2.2169096581590807e-26,0.564806962997022,0.6637786172083775,neither
aff15_wu_m512_seed2,15.0,15,8.0,0.0,0.0,,,,,,,,empty,,d0:0.92 d3:0.08,0.9175597519684978,0.11043179783252957,0.0,0.0,0.0,0.26704884251577204,0.30231066670368845,0.36805818548595354,neither
aff15_wu_m512_seed2,15.0,5,4.0,0.0,0.0,,,,,,,,empty,,,,0.0327071267470907,0.0,0.0,0.07613542488400185,0.5223774609982481,0.5171352430900112,0.7448367136329804,neither
aff15_wu_m512_seed2,,5β,,,,,,,,,,,,,,,30265.767049664195,0.0,1.0,0.0,7.400366091892874e-33,0.9999966117608686,0.5336107850996678,plain
aff15_wu_m512_seed3,15.0,15,8.0,0.0,0.0,,,,,,,,empty,,d0:1.00,0.9534194214064751,0.14697129774520185,0.0,0.0,0.0,0.24935073240711153,0.28739060946575967,0.3555939558755231,neither
aff15_wu_m512_seed3,15.0,5,4.0,0.0,0.0,,,,,,,,empty,,,,0.035123695852198863,0.0,0.0,0.0,0.47824137153908974,0.4919803046196446,0.6452738291486407,neither
aff15_wu_m512_seed3,,5β,,,,,,,,,,,,,,,36488.47837630789,0.0,1.0,0.0,6.396169754459185e-33,0.9999958187646208,0.8035005921431385,plain
aff15_wu_m512_seed4,15.0,15,8.0,0.0,0.0,,,,,,,,empty,,d0:0.11 d3:0.31 d5:0.58,0.9663077988885225,0.10912687301465143,0.0,0.0,0.0,0.27391462918284604,0.29885641418670167,0.36769218147793553,neither
aff15_wu_m512_seed4,15.0,5,4.0,196.0,0.5816388660884741,0.9999972023550148,1.395679545788812e-07,0.0,0.999993634892357,0.7742593861307835,l:0.50 r:0.50,l:0.50 r:0.50,plain,2:0.00 4:1.00,,,26519.068866192334,1.0,0.0,0.0,0.9999974800923007,0.7084500486038575,0.7743073721334427,plain
aff15_wu_m512_seed4,,5β,,,,,,,,,,,,,,,0.02753614535747277,0.0,0.0,0.08233117837631479,2.1228410736409262e-26,0.5449538890005995,0.7143954003067908,neither
aff15_wu_m512_seed5,15.0,15,8.0,0.0,0.0,,,,,,,,empty,,d0:0.71 d3:0.29,0.9517397263348678,0.18697565047870585,0.0,0.0,0.0,0.2660991276790432,0.2889891765390571,0.3624686035676917,neither
aff15_wu_m512_seed5,15.0,5,4.0,0.0,0.0,,,,,,,,empty,,,,0.03366469023673657,0.0,0.0,0.0,0.5533229382555493,0.4888264740450775,0.7319175832538427,neither
aff15_wu_m512_seed5,,5β,,,,,,,,,,,,,,,31838.145343442076,0.0,1.0,0.0,5.644562997052713e-33,0.9999967426540575,0.6179573572657544,plain
