run,n,block,side,neuron,energy,e_block,r1,rank,stab_u,ord_u,stab_v,ord_v
aff11_wu_m128_seed2,11,11,y,21,225.27319728955342,0.9999981661491216,0.9999960064154312,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,22,246.87958421403113,0.9999983553787636,0.9999909930209853,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,23,42.516462926741944,0.9953380897664713,0.9999907760618588,1,1,1,1,1
aff11_wu_m128_seed2,11,11,y,24,218.921382119361,0.9999971978516199,0.9999955152794293,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,25,235.90954489370264,0.9999974735483396,0.9999960725774039,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,26,159.1754568144707,0.9999993872352685,0.9999954469673401,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,27,103.13828609202965,0.9999815172964298,0.9999939790124586,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,28,153.9188445335354,0.9999976525993504,0.9999947494881157,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,29,261.93684062698003,0.9999946735622829,0.9999960846609866,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,30,164.15044126827075,0.9999964534823015,0.9999954872825045,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,32,219.22682368128181,0.9999971587420136,0.9999947633826731,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,33,252.64836825503,0.9999989759945106,0.9999909068978351,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,34,232.7986402415793,0.9999978693686242,0.9999960586025248,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,35,18.894923256179773,0.9480587308457101,0.9999933839292786,1,1,1,1,1
aff11_wu_m128_seed2,11,11,y,36,155.97242383756745,0.9999970716501858,0.9999955346557616,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,37,240.93912756576086,0.9999996656319388,0.999994801463883,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,38,206.29433292986243,0.9999978447896894,0.9999909372584118,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,39,163.20627955795308,0.9999984992819656,0.9999955255424697,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,40,152.43459950947667,0.9999975707552291,0.9999955256186873,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,41,214.60741618216838,0.9999959075457651,0.9999946793165884,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,42,218.92220332532338,0.999998548844812,0.9999947765004124,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,43,217.94117604171458,0.999999217002847,0.999994866631237,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,44,137.9587543492336,0.9999984602608398,0.999994568282042,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,45,224.4277886023939,0.9999993758705983,0.9999960840540547,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,46,232.39585097360728,0.9999983453901354,0.9999909511017965,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,48,224.2828076399917,0.9999994504748354,0.9999955024365391,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,49,110.695411754322,0.9999979817847294,0.9999912803115835,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,50,238.53785030395878,0.9999988148263836,0.9999954526759408,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,51,162.5704245177018,0.9999952151773503,0.9999947807300688,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,52,226.43683995412047,0.9999973104169385,0.999996003239373,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,53,251.90345969037287,0.9999976030501375,0.9999939228057116,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,54,20.48164484146839,0.9999253817496787,0.99999412679019,1,1,1,1,1
aff11_wu_m128_seed2,11,11,y,56,219.02377117928702,0.9999995912198368,0.9999947297774264,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,57,123.17245506381109,0.9999997010161453,0.9999960702112147,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,58,175.92231862635828,0.9999995041194438,0.9999959981530745,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,60,207.387534770988,0.9999976376295426,0.9999947548387051,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,61,113.41280051879954,0.9999930392037756,0.9999960144256678,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,62,230.1616216015598,0.9999983276962777,0.9999908701323491,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,63,247.89850653983876,0.9999986755732495,0.9999960672212146,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,64,240.85808631195727,0.9999989727593734,0.999993940213815,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,65,116.39786705484444,0.99999915169844,0.999994558769156,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,66,103.19252408648313,0.9999989874469091,0.9999940700989242,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,67,130.13977145811154,0.9999937770958303,0.9999947451779594,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,68,240.13946834779426,0.9999982601819961,0.9999947412415033,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,69,175.3101495368525,0.9999971870700978,0.9999960687449763,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,70,243.77131993303945,0.9999965118194044,0.9999939473497315,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,71,170.52089116169333,0.9999991192286101,0.9999960013929838,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,72,111.5052195541842,0.9999904274119011,0.9999939103397252,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,73,120.08097849970507,0.9999992922325651,0.9999955579741522,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,74,219.6339933456695,0.9999985929723654,0.999994773852633,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,76,156.14326840552397,0.9999970358071115,0.9999955122519188,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,77,143.58788500751086,0.9999974718613805,0.9999955225112755,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,78,233.77812922353988,0.9999990875277788,0.9999954519960024,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,79,128.56025048851507,0.9999905516552429,0.9999948288695224,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,80,125.03199539244362,0.9999991770597962,0.999994794141524,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,81,263.65563772872775,0.9999980101050275,0.9999960659530628,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,83,229.82463414630746,0.999998809093405,0.9999960329331558,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,84,214.33049039636725,0.9999975021292734,0.9999947339294971,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,85,114.12524550284624,0.999987535455595,0.9999960680820285,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,86,94.00092544028855,0.9999994965820097,0.9999954865937261,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,87,101.97743361984124,0.9999957745732837,0.9999908579071618,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,88,252.48144797263453,0.9999988667247676,0.9999946981731895,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,89,224.8873662024335,0.9999985930934872,0.9999954721244968,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,91,284.68957309775817,0.9999992885174477,0.9999954563473955,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,92,237.51401763901092,0.9999976894922026,0.9999939066229618,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,93,121.70619365513703,0.9999991658509184,0.9999948115235474,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,94,211.390908185708,0.9999976371947268,0.999996039133372,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,95,224.7834236222705,0.999996884214307,0.999995521805238,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,96,236.35331656313585,0.9999992453805687,0.9999960588063533,1,M,10,1,1
