run,n,side,neuron,energy,dom_dim,dom_k,e_dom,single,alpha_refl,r1
D59_MLP_seed1,59,x,85,642.5988656367356,2,3,0.9923457742278128,True,0.9979947026746212,0.9999971538107724
D59_MLP_seed1,59,x,86,560.7293449354592,2,8,0.9907880484007658,True,0.9986004593933775,0.9999965668488044
D59_MLP_seed1,59,x,87,801.1721110956125,2,6,0.9950562898013715,True,0.9993308120811458,0.9999951472411226
D59_MLP_seed1,59,x,88,685.8142339381619,2,15,0.9925392752634707,True,0.9976324375419006,0.9999838516072529
D59_MLP_seed1,59,x,89,779.4488296416091,2,6,0.994334892890228,True,0.9988469562788558,0.9999946276897248
D59_MLP_seed1,59,x,90,431.0042976923797,2,14,0.9774934103964777,True,0.9982725644633822,0.9999847670438737
D59_MLP_seed1,59,x,91,605.4619298167624,2,3,0.9930841186901662,True,0.9985094061521381,0.9999991300535267
D59_MLP_seed1,59,x,92,622.4620592500753,2,3,0.992645314998944,True,0.9987185166817758,0.9999974925957856
D59_MLP_seed1,59,x,93,341.52230517479984,2,8,0.991891078194882,True,0.9986348530240141,0.9999999230713386
D59_MLP_seed1,59,x,94,434.777009149093,2,15,0.992293298719209,True,0.997627703324307,0.9999899135765395
D59_MLP_seed1,59,x,95,597.7137049396434,2,8,0.9905167780040187,True,0.9985184323526015,0.9999959746061767
D59_MLP_seed1,59,x,96,427.13177702220787,2,6,0.9923688737138422,True,0.996270420773443,0.9999835960350771
D59_MLP_seed1,59,x,97,814.4178044235935,2,15,0.9923394469826161,True,0.9984318132107233,0.9999898878834131
D59_MLP_seed1,59,x,98,623.95609525975,2,8,0.9911628988781576,True,0.9984366864538656,0.9999988414458442
D59_MLP_seed1,59,x,99,598.1763781440063,2,15,0.9884678501414991,True,0.9975839589992024,0.9999957853038957
D59_MLP_seed1,59,x,100,480.26664431701727,2,19,0.9942227746742981,True,0.9974930540765371,0.9999989347238208
D59_MLP_seed1,59,x,101,607.4793211732979,2,15,0.9931191926322865,True,0.9983042783826884,0.9999998521733339
D59_MLP_seed1,59,x,102,415.9251877839722,2,19,0.9924880327674402,True,0.9962021221402582,0.9999895168603827
D59_MLP_seed1,59,x,103,347.37299452158953,2,14,0.9770516582792478,True,0.9986431771893616,0.9999834383434636
D59_MLP_seed1,59,x,104,632.2541067025873,2,3,0.9942683035883757,True,0.9988439126352103,0.9999996704218773
D59_MLP_seed1,59,x,105,0.005324896881138375,2,19,0.9891682691879528,True,0.9944406775449997,0.9999732757223363
D59_MLP_seed1,59,x,106,498.93876434332327,2,8,0.9900385350894005,True,0.9984926254423486,0.9999995853180927
D59_MLP_seed1,59,x,107,421.72038146967606,2,20,0.9872032056119158,True,0.9982591694933548,0.9999616028385528
D59_MLP_seed1,59,x,108,732.500604652591,2,6,0.9940728362933207,True,0.9977161664530139,0.9999904739536094
