run,side,neuron,energy,energy_frac,e_1,e_sgn,e_std,e_std',e_5a,e_5b,e_6d,dominant_irrep,alpha_A5,alpha_S4,alpha_S4~sgn,alpha_F20,alpha_F20~sgn,alpha_A4,alpha_S3xS2,alpha_S3xS2~sgn,alpha_D10,alpha_D8,alpha_D8~sgn,alpha_C6,alpha_C6~sgn,alpha_S3,alpha_S3',alpha_S3~sgn,alpha_C5,alpha_C4,alpha_C4~sgn,alpha_V4,alpha_primary,family_primary,proj_primary,alpha_any,family_any,live,aligned
S5_MLP_hidden_dim_32_seed10,x,10,590.6205520934099,0.007391391724323546,5.355272193256505e-35,0.00802621697082032,0.1863722205834352,0.10861515928961325,0.19454263148074258,0.09429105428854861,0.4081527173868396,s5_6d,0.008026216970820323,0.09909498541458456,0.07177015030467342,0.08637042337651576,0.04865598737896419,0.14921875861636025,0.1851427495460324,0.15612477567527477,0.13502641075547991,0.21752824393036463,0.1679709377835752,0.4754804885261599,0.3352775548296413,0.3425577933925184,0.26538270534452957,0.3705776947786252,0.3219433328723187,0.34884964756541004,0.39696996397315065,0.2670944332184576,0.1851427495460324,S3xS2,S3xS2[1]r,0.4754804885261599,C6,True,False
S5_MLP_hidden_dim_32_seed10,x,11,929.7321676163047,0.011635244701863508,9.960172049142886e-35,0.02494313656082235,0.06910644205656476,0.06252139390394082,0.34458499779826773,0.30116971318387503,0.19767431649652892,s5_5d_a,0.024943136560822404,0.02783095684241933,0.05738990810825635,0.13968436855175165,0.1130016385374001,0.07706026233313115,0.16758491554270669,0.18823157016949169,0.2474879934392091,0.23418434068667257,0.25515553109698996,0.19377040377588348,0.25229145719504026,0.2286846193842733,0.3202706644321974,0.22936054890350302,0.3313788730123324,0.38292336769803714,0.36985763637842894,0.4376536968391463,0.2474879934392091,D10,D10[5]l,0.4376536968391463,V4,True,False
S5_MLP_hidden_dim_32_seed10,x,12,1179.3382028900864,0.014758969362179858,2.1813425603740225e-36,0.021566126648113196,0.14529781436578845,0.08388830783166536,0.17729737938354387,0.2154250042691877,0.35652536750170194,s5_6d,0.021566126648113186,0.0820296588254475,0.06426845429861043,0.05937690933881137,0.10952877168010203,0.1281205659152196,0.1524530976871736,0.12173255142097099,0.1364028713324004,0.19551531903645067,0.22979288814015936,0.30364484037013134,0.3045313311683152,0.29042460221455046,0.2509932500199898,0.3692593124103486,0.28470326294104714,0.37430802803840296,0.4854423710241898,0.29955790982792097,0.1524530976871736,S3xS2,S3xS2[4]l,0.4854423710241898,C4~sgn,True,False
S5_MLP_hidden_dim_32_seed10,x,13,5830.423537645651,0.07296553452586184,1.2307780837171561e-33,0.003223906379716647,0.6616825666716047,0.03106078075525772,0.07325015043560967,0.10437599284057765,0.12640660291723368,standard,0.003223906379716656,0.2975277007767899,0.01810145870520022,0.02208069242398413,0.05597362037231957,0.31161537348066876,0.4593665082653328,0.04256739557103651,0.06898208651153506,0.3513531814438245,0.0775246744452483,0.47565214389851584,0.41914172445237136,0.5618031033834099,0.4788712979134468,0.10112617126180824,0.11763162584256537,0.37960811913352666,0.48368829568486443,0.37979316676348757,0.4593665082653328,S3xS2,S3xS2[4]r,0.5618031033834099,S3,True,False
S5_MLP_hidden_dim_32_seed10,x,14,852.4740082192337,0.010668388201560644,2.0361698878458382e-33,0.005387929583120457,0.09948809158668001,0.140036041922687,0.2309359167292808,0.09140595976987337,0.43274606040835845,s5_6d,0.005387929583120465,0.03958097643345878,0.062046741610204265,0.0820415591060911,0.04222689425129573,0.08464795814518147,0.07448361785145499,0.14674272542416228,0.10153590563791323,0.13913976257820634,0.18083265610005955,0.2947029188020517,0.3803693935574053,0.30789304962695635,0.1883806739921918,0.3363346776458163,0.29051418066364365,0.39034389333161984,0.35573492254594874,0.25264165191246635,0.14674272542416228,S3xS2~sgn,S3xS2~sgn[1]r,0.39034389333161984,C4,True,False
S5_MLP_hidden_dim_32_seed10,x,15,1408.6754423326038,0.017629037746502756,4.942234122745613e-34,0.00031241094345298305,0.1798323672610143,0.1374991953167905,0.21366332025589607,0.09553527017149874,0.37315743605134793,s5_6d,0.0003124109434529831,0.120531941224359,0.08037256786949377,0.11940138077212653,0.047642243565228136,0.20090450909385274,0.12712197437229852,0.1515400969147089,0.13161808299564973,0.23849835198276828,0.2136507661285121,0.3086826770468224,0.42132475711175543,0.35229332138444164,0.2589468986188686,0.3400556951871857,0.27342134264324913,0.4077471269196005,0.371791346567545,0.3644770859572738,0.20090450909385274,A4,A4[2]r,0.42132475711175543,C6~sgn,True,False
S5_MLP_hidden_dim_32_seed10,x,16,636.5972029889394,0.007966772035314797,1.3255838353033172e-33,0.00019467872908878327,0.14792943894258442,0.13055025258451378,0.16225939450990182,0.1913314445116341,0.3677347907222771,s5_6d,0.00019467872908878302,0.09246504605009001,0.05266802275171448,0.09992317704787328,0.12392811104760354,0.12835465626706452,0.16493475809188426,0.10021004256553931,0.14440608122510126,0.1993249415517042,0.15802103118342192,0.2947414524358067,0.2674797494592596,0.2780883923857955,0.23479282841739793,0.26325735423629987,0.27198867790844367,0.3781934923336501,0.339983189623856,0.2798571178236751,0.16493475809188426,S3xS2,S3xS2[1]r,0.3781934923336501,C4,True,False
S5_MLP_hidden_dim_32_seed10,x,17,1383.4760113611073,0.01731367644578235,4.230742468252947e-33,0.029895698484981106,0.6018955422970951,0.05680920304360322,0.10745779145051733,0.06004456110082172,0.14389720362298156,standard,0.02989569848498108,0.5704801489754868,0.054869700698087547,0.04657418158474074,0.05821374727109529,0.6253498496735748,0.42693932078214997,0.09201687807006481,0.09478468702870593,0.5960122500291373,0.11211407889932812,0.4667327968869937,0.6006770712418134,0.6349835497396534,0.4826862961833416,0.14243434608276254,0.1602433089098257,0.667269218002691,0.5689687380748634,0.6648626275589847,0.6253498496735748,A4,A4[2]r,0.667269218002691,C4,True,False
S5_MLP_hidden_dim_32_seed10,x,18,1035.9431821534727,0.012964435179742224,9.523348538342291e-35,0.0028669065019305746,0.11453664289161296,0.07001708058764594,0.5626777100587074,0.07379314187582578,0.1761085180842773,s5_5d_a,0.0028669065019305737,0.08293179758302505,0.04233932400017039,0.3971941355346713,0.030125219397654956,0.0918357988992559,0.08576723537544959,0.3294642453108065,0.4221103701389823,0.42240490835850286,0.3721099046690672,0.14221825917539574,0.40334789754198314,0.14308710992909984,0.3633745886304252,0.3822495696596502,0.466531635677756,0.5646018578213837,0.4621792609556443,0.4846135753350438,0.4221103701389823,D10,D10[2]r,0.5646018578213837,C4,True,False
S5_MLP_hidden_dim_32_seed10,x,19,1491.5995883772798,0.01866680191615237,3.900544720672807e-33,0.00026007815383290866,0.6212761837829479,0.05108658927933319,0.08806294575799088,0.11226842936565304,0.12704577366024175,standard,0.00026007815383290866,0.5529198655401324,0.026660319969070485,0.030682298320122762,0.04606410249284187,0.5655006343587277,0.49905120639958955,0.06303801954485821,0.05806789005510598,0.6267445245130915,0.08954523114497769,0.5286916779275754,0.5540863931315924,0.6265411391939368,0.5120026557948218,0.09586061354208607,0.10639467632793512,0.6511760774498692,0.5970457656313556,0.6731161612878237,0.5655006343587277,A4,A4[3]l,0.6731161612878237,V4,True,False
