run,side,neuron,family,energy,alpha,purity,top,c_std,c_sgn,c_stdp,c_5a,c_5b
S5_MLP_seed1,y,46,A4,360.5132443421696,0.9990966199171328,0.9905986231487256,std',1.290502326569709e-05,0.009388471828008541,0.9905986231487256,,
S5_MLP_seed1,y,47,A4,269.9926217476564,0.9916183503482158,0.9540824719518957,std',0.006802789843449498,0.03911473820465453,0.9540824719518957,,
S5_MLP_seed1,y,48,D10,536.024627524617,0.999884186368892,0.9999934098503973,5a,,9.533682380824542e-07,,0.9999934098503973,5.636781364514869e-06
S5_MLP_seed1,y,49,A4,458.9541794424731,0.9992530617075128,0.9876214433692774,std',0.00017295213131295826,0.012205604499409705,0.9876214433692774,,
S5_MLP_seed1,y,50,A4,747.9477401381329,0.99861820778828,0.9873314381058665,std',3.2129450440408975e-05,0.012636432443692936,0.9873314381058665,,
S5_MLP_seed1,y,51,S4,1185.5004529299565,0.9999912677180254,1.0,std,1.0,,,,
S5_MLP_seed1,y,52,D10,482.0587002250092,0.9999290352295728,0.9999964902274744,5a,,5.642545572679054e-07,,0.9999964902274744,2.945517968376644e-06
S5_MLP_seed1,y,53,A4,554.3358445025391,0.9988624535100542,0.9729703639766267,std',2.1996583043072536e-05,0.027007639440329998,0.9729703639766267,,
S5_MLP_seed1,y,54,S3xS2~sgn,325.63760408961366,0.9986993118382806,0.9989012645669606,sgn,,0.9989012645669606,0.00098255484142994,0.00011618059160987932,
S5_MLP_seed1,y,55,A4,422.5012100928994,0.9946134760683294,0.9798078016225253,std',0.0015011797909992967,0.018691018586475306,0.9798078016225253,,
S5_MLP_seed1,y,56,D10,852.4346205017323,0.9999285027713716,0.9999960291794443,5a,,6.476206018167491e-07,,0.9999960291794443,3.3231999538883473e-06
S5_MLP_seed1,y,57,A4,449.8576886450825,0.995188653115913,0.9784113250851918,std',0.0037133413828463646,0.01787533353196185,0.9784113250851918,,
S5_MLP_seed1,y,59,S4,1225.2123733014253,0.9999514815349442,1.0,std,1.0,,,,
S5_MLP_seed1,y,60,S4,1149.4972072147484,0.9999912332072002,0.9999999999999998,std,0.9999999999999998,,,,
S5_MLP_seed1,y,62,A4,298.7036223056272,0.999214997851278,0.9797198981351005,std',3.269179184603851e-05,0.020247410073053276,0.9797198981351005,,
S5_MLP_seed1,y,63,S4,1262.9126140864523,0.9999914253287432,1.0,std,1.0,,,,
S5_MLP_seed1,y,64,A4,1201.267253718251,0.9998418341247663,0.9999847609979363,std,0.9999847609979363,2.1166076210034036e-06,1.3122394442649071e-05,,
S5_MLP_seed1,y,65,A4,475.7975621782982,0.9994695776129188,0.978016734282879,std',8.412139601850154e-05,0.021899144321102005,0.978016734282879,,
